Player,TH,Total Wars,Total Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Dragon Slayer,8,3,3,10,3.33333,2,1,3,0,6,3,10,1.66667,72.6667,2,0.333333,0,3,3,8,2.66667,2,0.666667,1,0.333333,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0.666667,0,0,0,0,52.3333,6,11,1.83333,76.8333,2,0,5,10,2,2,79.8,0,0,0,0,0,0,0,1,1,0,1,62,0,
Katie-cakes,9,6,18,25,4.16667,6,3,9,0,11,18,25,2.27273,81,6,0.545455,0,2,3,5,2.5,1,0.5,1,0.5,83.5,8,15,20,2.5,5,0.625,5,0.625,86.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,15,30,2,75.5333,3,0,15,30,3,2,75.5333,0,0,0,0,0,0,0,0,0,0,0,0,0,
RedACE,9,7,30,37,5.28571,10,6,5,3,14,30,37,2.64286,95.2143,10,0.714286,1,2,3,5,2.5,1,0.5,0,0,87.5,12,27,32,2.66667,9,0.75,5,0.416667,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,1.83333,69.8333,1,0,9,16,1,1.77778,68.6667,0,3,6,0,2,73.3333,0,0,0,0,0,0,0,
Kighr,9,7,18,31,4.42857,8,6,2,2,13,18,31,2.38462,92.1538,8,0.615385,0,7,3,15,2.14286,3,0.428571,1,0.142857,91.5714,5,15,15,3,5,1,3,0.6,100,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,57,9,16,1.77778,59.7778,1,1,6,11,1,1.83333,60.5,1,2,4,0,2,82,0,1,1,0,1,11,0,
Caesar,9,3,12,16,5.33333,4,3,3,0,6,12,16,2.66667,91.6667,4,0.666667,0,1,0,2,2,0,0,0,0,66,5,12,14,2.8,4,0.8,2,0.4,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,1.33333,71,0,1,6,8,0,1.33333,71,1,0,0,0,0,0,0,0,0,0,0,0,0,
Wryhorn,11,3,6,7,2.33333,0,5,1,0,5,6,7,1.4,56.6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1.33333,0,0,1,0.333333,51.3333,2,2,3,1.5,0,0,0,0,64.5,0,0,0,0,0,0,0,0,0,4,4,1,48.25,0,2,3,4,0,1.33333,62,1,0,0,0,0,0,0,1,0,0,0,7,1,
Amagnus,9,7,21,33,4.71429,8,7,3,2,14,21,33,2.35714,89.5714,8,0.571429,0,3,0,6,2,1,0.333333,0,0,79,11,21,27,2.45455,7,0.636364,4,0.363636,92.4545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,1.7,73.1,0,0,8,14,0,1.75,73.75,0,2,3,0,1.5,70.5,0,0,0,0,0,0,0,
Joe,9,5,17,27,5.4,8,5,3,0,10,17,27,2.7,92.9,8,0.8,0,3,2,6,2,1,0.333333,0,0,76.3333,7,15,21,3,7,1,4,0.571429,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,1.5,62.75,1,1,8,12,1,1.5,62.75,1,0,0,0,0,0,0,0,0,0,0,0,0,
secretslayer297,8,4,24,24,6,8,2,2,0,8,24,24,3,100,8,1,0,1,3,3,3,1,1,0,0,100,6,18,18,3,6,1,6,1,100,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,6,12,2,75.1667,2,0,6,12,2,2,75.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ethan,9,1,0,6,6,2,1,0,0,2,0,6,3,100,2,1,0,1,0,3,3,1,1,0,0,100,1,0,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,81,0,0,1,2,0,2,81,0,0,0,0,0,0,0,0,0,0,0,0,0,
Poz,9,7,12,31,4.42857,7,4,2,0,14,12,31,2.21429,87.6429,7,0.5,2,3,3,6,2,2,0.666667,0,0,81.3333,11,9,25,2.27273,5,0.454545,3,0.272727,89.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,2.22222,81.1111,3,0,9,20,3,2.22222,81.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,
Steve,9,6,11,24,4,4,5,5,1,12,11,24,2,81,4,0.333333,0,8,3,14,1.75,2,0.25,0,0,79.25,3,6,8,2.66667,2,0.666667,2,0.666667,95.3333,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,52,11,17,1.54545,69.4545,1,2,10,15,1,1.5,69.6,2,1,2,0,2,68,0,0,0,0,0,0,0,
Jim,9,3,4,6,2,1,2,2,0,6,4,6,1,66.1667,1,0.166667,0,2,3,4,2,1,0.5,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0.5,0,0,0,0,51.75,5,10,2,78.2,1,0,5,10,1,2,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,
Blaine,9,7,24,34,4.85714,8,8,11,5,14,24,34,2.42857,89.2857,8,0.571429,1,12,24,32,2.66667,8,0.666667,7,0.583333,95.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,53.5,18,27,1.5,45.8333,0,0,8,14,0,1.75,65.75,0,5,8,0,1.6,46.6,0,5,5,0,1,13.2,0,
Atlas,10,2,7,8,4,1,2,3,2,4,7,8,2,63.75,1,0.25,0,0,0,0,0,0,0,0,0,0,4,7,8,2,1,0.25,0,0,63.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0.8,48.2,1,3,2,0,0,0,43.5,2,2,4,1,2,76,0,1,0,0,0,2,1,
trappist9,8,3,12,15,5,5,1,2,0,6,12,15,2.5,90.1667,5,0.833333,0,1,3,3,3,1,1,0,0,100,4,9,12,3,4,1,2,0.5,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,5,10,2,79.2,2,0,4,9,2,2.25,86,0,0,0,0,0,0,0,1,1,0,1,52,0,
Chezwick,10,3,7,10,3.33333,2,3,3,3,6,7,10,1.66667,66.3333,2,0.333333,0,0,0,0,0,0,0,0,0,0,4,7,8,2,2,0.5,0,0,84.5,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,30,6,7,1.16667,55.5,0,2,1,2,0,2,62,0,3,5,0,1.66667,80.6667,0,2,0,0,0,14.5,2,
jbarr,9,1,3,3,3,1,1,0,0,2,3,3,1.5,60,1,0.5,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,20,1,2,2,58,0,0,1,2,0,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darth Carlos,9,7,26,33,4.71429,8,6,3,4,14,26,33,2.35714,89,8,0.571429,0,9,18,22,2.44444,6,0.666667,3,0.333333,94.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,2.2,2,0.4,2,0.4,79.8,10,21,2.1,68.4,1,0,6,12,0,2,66.1667,0,4,9,1,2.25,71.75,0,0,0,0,0,0,0,
Aboy,9,4,3,10,2.5,1,2,3,4,8,3,10,1.25,66.5,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10,1.25,1,0.125,0,0,66.5,7,13,1.85714,78.7143,2,1,3,3,0,1,56.6667,1,4,10,2,2.5,95.25,0,0,0,0,0,0,0,
Aboy,10,2,3,9,4.5,2,1,0,0,4,3,9,2.25,84.75,2,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,52,3,3,8,2.66667,2,0.666667,0,0,95.6667,0,0,0,0,0,0,0,0,0,2,5,2.5,80,1,0,1,3,1,3,100,0,0,0,0,0,0,0,1,2,0,2,60,0,
stardust,9,3,14,16,5.33333,4,2,2,0,6,14,16,2.66667,86,4,0.666667,0,4,12,12,3,4,1,1,0.25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,2,0,0,0,0,58,5,10,2,81.8,1,0,5,10,1,2,81.8,0,0,0,0,0,0,0,0,0,0,0,0,0,
DimSum,9,7,18,33,4.71429,6,3,3,1,14,18,33,2.35714,90.3571,6,0.428571,2,4,3,9,2.25,1,0.25,0,0,89.75,7,15,19,2.71429,5,0.714286,3,0.428571,98.4286,0,0,0,0,0,0,0,0,0,3,5,5,1.66667,0,0,0,0,72.3333,10,22,2.2,75.3,4,1,9,19,3,2.11111,72.5556,1,1,3,1,3,100,0,0,0,0,0,0,0,
Ninja,8,3,6,7,2.33333,2,4,3,2,6,6,7,1.16667,60.8333,2,0.333333,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,1,3,3,3,1,1,1,1,100,4,0,1,0.25,0,0,0,0,41.25,5,9,1.8,82.6,1,0,3,6,1,2,87.3333,0,2,3,0,1.5,75.5,0,0,0,0,0,0,0,
Jippieh Yeah,9,3,6,13,4.33333,3,4,1,0,6,6,13,2.16667,80.8333,3,0.5,0,5,6,11,2.2,3,0.6,1,0.2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,0,0,0,0,55,4,6,1.5,58.75,0,0,4,6,0,1.5,58.75,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anthony,9,3,12,15,5,4,3,3,0,6,12,15,2.5,93.3333,4,0.666667,0,1,0,2,2,0,0,0,0,76,5,12,13,2.6,4,0.8,2,0.4,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,1.66667,73,0,0,6,10,0,1.66667,73,0,0,0,0,0,0,0,0,0,0,0,0,0,
RedACEling,8,1,3,4,4,1,1,0,0,2,3,4,2,64,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,1,0,1,1,0,0,0,0,28,1,2,2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,67,0,
Brodavidict,9,5,24,29,5.8,9,6,1,0,10,24,29,2.9,99.4,9,0.9,0,9,21,26,2.88889,8,0.888889,6,0.666667,99.3333,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,1.66667,61.8333,0,0,6,10,0,1.66667,61.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,
