Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Space12345,10,9,23,2.55556,34,3.77778,5,8,6,12,18,23,38.9,1.27778,34,1.88889,80.1667,5,0.277778,0,1,0,1,1,0,0,0,0,59,8,11,17,2.125,3,0.375,1,0.125,90.5,2,3,3,1.5,1,0.5,1,0.5,72.5,7,9,13,1.85714,1,0.142857,2,0.285714,73.5714,15,24,1.6,67.2667,3,1,1.81027,4,4,0,1,62,1,10,19,3,1.9,72.9,0,1,1,0,1,32,0,
Dirk D,10,5,18,3.6,20,4,4,4,1,5,10,18,26.4,1.8,20,2,73.4,4,0.4,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,1,0.5,51,2,6,6,3,2,1,1,0.5,100,6,10,12,2,2,0.333333,2,0.333333,72,6,12,2,64.6667,2,0,1.26,1,2,0,2,75,0,4,9,2,2.25,75.75,0,1,1,0,1,10,0,
Chop Chef Jr,9,9,17,1.88889,28,3.11111,5,3,4,6,16,17,35,1.0625,28,1.75,76.25,5,0.3125,0,1,0,2,2,0,0,0,0,90,7,12,17,2.42857,4,0.571429,2,0.285714,96.5714,0,0,0,0,0,0,0,0,0,8,5,9,1.125,1,0.125,1,0.125,56.75,13,29,2.23077,83.6154,7,0,1.47302,8,18,4,2.25,85.875,0,5,11,3,2.2,80,0,0,0,0,0,0,0,
SwuTangClan,10,9,23,2.55556,37,4.11111,5,9,5,5,18,23,41.6,1.27778,37,2.05556,87.7778,5,0.277778,5,3,2,5,1.66667,0,0,0,0,79,9,14,21,2.33333,4,0.444444,0,0,96.5556,0,0,0,0,0,0,0,0,0,6,7,11,1.83333,1,0.166667,1,0.166667,79,14,25,1.78571,67.3571,3,0,1.457,8,13,1,1.625,63.875,0,2,5,1,2.5,78.5,0,4,7,1,1.75,68.75,0,
Dirk N,9,9,27,3,42,4.66667,9,3,6,8,18,27,40.2,1.5,42,2.33333,83.9444,9,0.5,0,3,3,6,2,1,0.333333,1,0.333333,81.3333,14,24,35,2.5,8,0.571429,8,0.571429,85.2143,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,74,15,36,2.4,89,6,0,1.66508,9,21,3,2.33333,89.2222,0,4,10,2,2.5,83.75,0,2,5,1,2.5,98.5,0,
Eleazar,10,6,12,2,26,4.33333,5,4,2,4,12,12,28.4,1,26,2.16667,86,5,0.416667,0,0,0,0,0,0,0,0,0,0,6,3,10,1.66667,1,0.166667,0,0,80.5,5,9,13,2.6,3,0.6,0,0,89.8,1,0,3,3,1,1,0,0,100,8,17,2.125,82.875,3,0,1.36217,3,7,1,2.33333,85,0,2,2,0,1,57,0,3,8,2,2.66667,98,0,
Captain America,9,3,6,2,9,3,2,1,3,4,5,6,13.8,1.2,9,1.8,76.4,2,0.4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,97,2,6,6,3,2,1,2,1,100,2,0,2,1,0,0,0,0,42.5,6,14,2.33333,79.3333,2,0,1.99552,3,7,1,2.33333,77,0,2,5,1,2.5,93.5,0,1,2,0,2,58,0,
Corey,10,5,8,1.6,16,3.2,2,1,2,2,10,8,21.2,0.8,16,1.6,70.8,2,0.2,0,0,0,0,0,0,0,0,0,0,3,2,5,1.66667,0,0,1,0.333333,60.6667,4,3,7,1.75,1,0.25,0,0,81.25,3,3,4,1.33333,1,0.333333,0,0,67,7,18,2.57143,92.5714,4,0,1.55653,5,13,3,2.6,93.8,0,1,3,1,3,100,0,1,2,0,2,79,0,
ThatAmagnus,10,9,27,3,34,3.77778,5,7,19,9,18,27,39.8,1.5,34,1.88889,74.5,5,0.277778,1,0,0,0,0,0,0,0,0,0,2,2,3,1.5,0,0,0,0,88,6,15,17,2.83333,5,0.833333,1,0.166667,99.6667,10,10,14,1.4,0,0,1,0.1,56.7,28,42,1.5,67.75,2,1,2.9653,17,26,1,1.52941,65.9412,0,5,7,1,1.4,80.4,0,6,9,0,1.5,62.3333,1,
Dada 1974,9,4,9,2.25,18,4.5,3,2,1,0,8,9,16.8,1.125,18,2.25,89.875,3,0.375,1,2,0,4,2,0,0,0,0,76.5,6,9,14,2.33333,3,0.5,3,0.5,94.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,2.4,86.4,2,0,1.23556,5,12,2,2.4,86.4,0,0,0,0,0,0,0,0,0,0,0,0,0,
