Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
paytax,8,15,27,1.8,43,2.86667,9,4,5,11,30,27,0.9,43,1.43333,67.8333,9,0.3,2,9,6,14,1.55556,2,0.222222,2,0.222222,81.6667,9,18,20,2.22222,6,0.666667,6,0.666667,84.5556,1,3,3,3,1,1,1,1,100,11,1,6,0.545455,0,0,1,0.0909091,39.9091,20,47,2.35,85.95,12,1,9,21,5,2.33333,83.7778,0,11,26,7,2.36364,87.7273,1,0,0,0,0,0,0,
Alec,9,14,35,2.5,60,4.28571,12,13,5,2,28,35,1.25,60,2.14286,86.3214,12,0.428571,3,14,6,24,1.71429,2,0.142857,1,0.0714286,77.7857,14,29,36,2.57143,10,0.714286,5,0.357143,94.8571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,2,73.2353,5,1,13,27,4,2.07692,75.9231,0,2,5,1,2.5,96.5,0,2,2,0,1,32.5,1,
DarthCarlos10,10,9,40,4.44444,44,4.88889,8,13,0,6,18,40,2.22222,44,2.44444,90.6111,8,0.444444,3,0,0,0,0,0,0,0,0,0,16,35,39,2.4375,7,0.4375,12,0.75,91.375,0,0,0,0,0,0,0,0,0,2,5,5,2.5,1,0.5,2,1,84.5,9,14,1.55556,53.7778,0,1,2,4,0,2,51.5,0,6,9,0,1.5,55.3333,1,1,1,0,1,49,0,
Golden Thumbs,9,7,12,1.71429,28,4,4,5,10,0,14,12,0.857143,28,2,74.1429,4,0.285714,0,5,0,8,1.6,0,0,0,0,65.8,8,12,18,2.25,4,0.5,4,0.5,81.125,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,60,17,30,1.76471,73.3529,2,0,17,30,2,1.76471,73.3529,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tyrion,9,23,57,2.47826,103,4.47826,16,21,15,2,46,57,1.23913,103,2.23913,82.8043,16,0.347826,6,20,33,49,2.45,10,0.5,5,0.25,89.05,19,18,41,2.15789,6,0.315789,2,0.105263,85.1053,0,0,0,0,0,0,0,0,0,7,6,13,1.85714,0,0,2,0.285714,58.7143,36,66,1.83333,65,7,1,27,55,6,2.03704,75.5926,0,2,5,1,2.5,89,0,7,6,0,0.857143,17.2857,1,
Cash,9,1,6,6,6,6,2,1,2,0,2,6,3,6,3,100,2,1,0,2,6,6,3,2,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,73,0,0,3,6,0,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eleazar,9,19,50,2.63158,83,4.36842,19,9,8,15,38,50,1.31579,83,2.18421,86.7895,19,0.5,2,23,36,55,2.3913,13,0.565217,2,0.0869565,89.2609,9,14,20,2.22222,5,0.555556,1,0.111111,90.8889,0,0,0,0,0,0,0,0,0,6,1,8,1.33333,1,0.166667,0,0,71.1667,26,62,2.38462,89.0769,12,0,11,24,4,2.18182,86.4545,0,15,38,8,2.53333,91,0,0,0,0,0,0,0,
Alaska,11,2,5,2.5,7,3.5,1,2,2,0,4,5,1.25,7,1.75,71.25,1,0.25,0,0,0,0,0,0,0,0,0,0,3,6,5,1.66667,1,0.333333,1,0.333333,64,1,10,2,2,0,0,0,0,93,0,0,0,0,0,0,0,0,0,4,4,1,35,0,2,2,4,0,2,67,0,0,0,0,0,0,0,2,0,0,0,3,2,
You,9,1,3,3,5,5,1,2,1,0,2,3,1.5,5,2.5,84.5,1,0.5,0,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,69,2,2,1,67,0,0,2,2,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,
sgt7dust,9,1,0,0,1,1,0,3,0,0,2,0,0,1,0.5,63,0,0,0,1,0,0,0,0,0,0,0,36,1,0,1,1,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
