Player,TH,Total Wars,Total Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses
Dragon Slayer,8,3,3,10,3.33333,2,1,3,0,6,3,10,1.66667,72.6667,2,0.333333,0,3,3,8,2.66667,2,0.666667,1,0.333333,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0.666667,0,0,0,0,52.3333,6,11,1.83333,76.8333,2,0,5,10,2,2,79.8,0,0,0,0,0,0,0,1,1,0,1,62,0
Katie-cakes,9,4,12,17,4.25,4,1,4,0,7,12,17,2.42857,84.5714,4,0.571429,0,0,0,0,0,0,0,0,0,0,7,12,17,2.42857,4,0.571429,4,0.571429,84.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,2.25,80.25,3,0,8,18,3,2.25,80.25,0,0,0,0,0,0,0,0,0,0,0,0,0
RedACE,9,5,18,25,5,6,4,5,2,10,18,25,2.5,93.3,6,0.6,1,2,3,5,2.5,1,0.5,0,0,87.5,8,15,20,2.5,5,0.625,3,0.375,94.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,1.8,71,1,0,8,14,1,1.75,71,0,2,4,0,2,71,0,0,0,0,0,0,0
Kighr,9,5,12,21,4.2,5,4,2,1,9,12,21,2.33333,89.3333,5,0.555556,0,5,3,11,2.2,2,0.4,1,0.2,89.4,3,9,9,3,3,1,2,0.666667,100,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,57,7,12,1.71429,55.2857,1,1,5,9,1,1.8,60.4,1,1,2,0,2,74,0,1,1,0,1,11,0
Caesar,9,3,12,16,5.33333,4,3,3,0,6,12,16,2.66667,91.6667,4,0.666667,0,1,0,2,2,0,0,0,0,66,5,12,14,2.8,4,0.8,2,0.4,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,1.33333,71,0,1,6,8,0,1.33333,71,1,0,0,0,0,0,0,0,0,0,0,0,0
Wryhorn,11,1,2,2,2,0,3,0,0,2,27,2,1,52,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,1,0,0,1,0.5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,0,1,1,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0
Amagnus,9,5,15,24,4.8,6,5,0,0,10,15,24,2.4,91.2,6,0.6,0,2,0,5,2.5,1,0.5,0,0,91.5,8,15,19,2.375,5,0.625,3,0.375,91.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,76.8,0,0,5,10,0,2,76.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,9,3,8,17,5.66667,5,4,3,0,6,8,17,2.83333,96.5,5,0.833333,0,2,2,5,2.5,1,0.5,0,0,89.5,4,6,12,3,4,1,2,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1.16667,56.1667,0,1,6,7,0,1.16667,56.1667,1,0,0,0,0,0,0,0,0,0,0,0,0
secretslayer297,8,4,24,24,6,8,2,2,0,8,24,24,3,100,8,1,0,1,3,3,3,1,1,0,0,100,6,18,18,3,6,1,6,1,100,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,6,12,2,75.1667,2,0,6,12,2,2,75.1667,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan,9,1,0,6,6,2,1,0,0,2,0,6,3,100,2,1,0,1,0,3,3,1,1,0,0,100,1,0,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,81,0,0,1,2,0,2,81,0,0,0,0,0,0,0,0,0,0,0,0,0
