Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
ThatAmagnus,10,4,12,3,15,3.75,4,3,12,1,8,12,10.1,1.5,15,1.875,81.25,4,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,6,12,15,2.5,4,0.666667,1,0.166667,94.1667,1,0,0,0,0,0,0,0,39,16,22,1.375,65.8125,1,2,3.9354,12,17,1,1.41667,69.5,2,1,1,0,1,70,0,3,4,0,1.33333,49.6667,0,
Dada 1974,9,6,15,2.5,28,4.66667,5,0,0,0,12,15,28,1.25,28,2.33333,90.25,5,0.416667,1,0,0,0,0,0,0,0,0,0,12,15,28,2.33333,5,0.416667,2,0.166667,90.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,3,100,6,0,1,6,18,6,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sno,10,10,35,3.5,36,3.6,9,3,17,7,20,35,39,1.75,36,1.8,70.8,9,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,27,3,9,1,4,0.444444,100,11,8,9,0.818182,0,0,4,0.363636,46.9091,27,52,1.92593,69.1111,7,2,2.63758,11,18,1,1.63636,64.8182,1,7,20,6,2.85714,95.1429,0,9,14,0,1.55556,54.1111,1,
RedACE,9,13,56,4.30769,69,5.30769,18,0,11,1,26,56,70.3,2.15385,69,2.65385,94.2692,18,0.692308,2,2,3,5,2.5,1,0.5,0,0,96.5,23,51,62,2.69565,17,0.73913,6,0.26087,95.3043,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,66,24,57,2.375,91.5417,13,0,1.89577,23,54,12,2.34783,91.1739,0,1,3,1,3,100,0,0,0,0,0,0,0,
Tim66,10,1,5,5,5,5,1,0,6,1,2,5,5,2.5,5,2.5,82.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,0,0,100,1,2,2,2,0,0,0,0,65,7,8,1.14286,61,1,2,7.18605,5,5,0,1,57,1,1,3,1,3,100,0,1,0,0,0,42,1,
Wryhorn,11,12,37,3.08333,49,4.08333,10,14,15,0,24,37,26,1.54167,49,2.04167,87.7083,10,0.416667,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,23,37,49,2.13043,10,0.434783,1,0.0434783,89.4348,0,0,0,0,0,0,0,0,0,27,26,0.962963,51.4074,0,11,1.86941,3,4,0,1.33333,71.3333,0,0,0,0,0,0,0,24,22,0,0.916667,48.9167,11,
Amagnus,9,12,30,2.5,53,4.41667,10,0,9,2,24,30,53.1,1.25,53,2.20833,85.6667,10,0.416667,4,2,3,5,2.5,1,0.5,1,0.5,81.5,22,27,48,2.18182,9,0.409091,5,0.227273,86.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52,2.47619,90.7619,12,0,1.79883,19,46,10,2.42105,89.7895,0,2,6,2,3,100,0,0,0,0,0,0,0,
Double G,9,4,3,0.75,14,3.5,1,1,8,1,8,3,17.2,0.375,14,1.75,78.875,1,0.125,1,1,0,2,2,0,0,0,0,95,4,3,8,2,1,0.25,1,0.25,89.75,0,0,0,0,0,0,0,0,0,3,0,4,1.33333,0,0,0,0,59,12,26,2.16667,89.8333,3,0,3.0677,11,24,3,2.18182,89.0909,0,1,2,0,2,98,0,0,0,0,0,0,0,
Joe,9,13,17,1.30769,50,3.84615,5,1,8,0,26,17,53.3,0.653846,50,1.92308,81.1923,5,0.192308,3,1,0,2,2,0,0,0,0,91,23,17,47,2.04348,5,0.217391,2,0.0869565,85.2174,0,0,0,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,30,21,51,2.42857,89.1905,12,0,1.61888,21,51,12,2.42857,89.1905,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mr. Pizza,9,7,18,2.57143,32,4.57143,6,0,10,3,14,18,31.6,1.28571,32,2.28571,89.1429,6,0.428571,1,1,0,1,1,0,0,0,0,90,13,18,31,2.38462,6,0.461538,4,0.307692,89.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36,2.11765,85.0588,7,1,2.50408,14,27,4,1.92857,81.8571,1,3,9,3,3,100,0,0,0,0,0,0,0,
Aigamisou,9,1,3,3,5,5,1,0,1,0,2,3,5,1.5,5,2.5,90.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,3,5,2.5,1,0.5,0,0,90.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,87.5,1,0,2,2,4,1,2,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Poz,9,12,36,3,52,4.33333,10,0,6,0,24,36,60,1.5,52,2.16667,80.7083,10,0.416667,2,0,0,0,0,0,0,0,0,0,17,30,44,2.58824,10,0.588235,6,0.352941,93.2941,0,0,0,0,0,0,0,0,0,7,6,8,1.14286,0,0,3,0.428571,50.1429,18,45,2.5,93.3333,12,0,1.50631,18,45,12,2.5,93.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aleister Crowle,9,2,3,1.5,5,2.5,1,0,1,0,4,3,7.9,0.75,5,1.25,59.75,1,0.25,0,0,0,0,0,0,0,0,0,0,2,3,5,2.5,1,0.5,1,0.5,83,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36.5,3,8,2.66667,91,2,0,1.5,3,8,2,2.66667,91,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lacey Clan,9,9,20,2.22222,42,4.66667,6,0,6,1,18,20,42.8,1.11111,42,2.33333,91.3889,6,0.333333,3,1,0,2,2,0,0,0,0,81,16,20,38,2.375,6,0.375,2,0.125,94.0625,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,59,15,38,2.53333,96.6,9,0,1.69841,14,35,8,2.5,96.3571,0,1,3,1,3,100,0,0,0,0,0,0,0,
Atlas,10,5,11,2.2,21,4.2,3,2,5,3,10,11,17,1.1,21,2.1,81.8,3,0.3,1,0,0,0,0,0,0,0,0,0,4,2,7,1.75,0,0,1,0.25,71.25,5,9,13,2.6,3,0.6,0,0,97.8,1,0,1,1,0,0,0,0,44,10,21,2.1,77.7,3,1,2.04444,5,8,0,1.6,71.6,1,3,9,3,3,100,0,2,4,0,2,59.5,0,
DarthCarlos11,11,4,21,5.25,21,5.25,5,5,4,0,8,21,13,2.625,21,2.625,93.375,5,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,21,2.625,5,0.625,3,0.375,93.375,0,0,0,0,0,0,0,0,0,8,10,1.25,56.125,0,1,1.68182,1,2,0,2,93,0,0,0,0,0,0,0,7,8,0,1.14286,50.8571,1,
cuVaX,9,1,3,3,5,5,1,0,2,0,2,3,5,1.5,5,2.5,81,1,0.5,0,0,0,0,0,0,0,0,0,0,2,3,5,2.5,1,0.5,1,0.5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,87.3333,1,0,3,3,6,1,2,87.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
NHHung,11,3,9,3,14,4.66667,3,3,1,0,6,9,8,1.5,14,2.33333,94.3333,3,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,14,2.33333,3,0.5,0,0,94.3333,0,0,0,0,0,0,0,0,0,4,7,1.75,60.5,0,0,1.08921,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,1.75,60.5,0,
Swu2,9,2,9,4.5,11,5.5,3,0,1,0,4,9,10.9,2.25,11,2.75,96,3,0.75,0,0,0,0,0,0,0,0,0,0,4,9,11,2.75,3,0.75,2,0.5,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2.66667,99,2,0,1.48507,3,8,2,2.66667,99,0,0,0,0,0,0,0,0,0,0,0,0,0,
King Necto,9,8,8,1,25,3.125,2,0,7,0,16,8,31.9,0.5,25,1.5625,70.375,2,0.125,0,0,0,0,0,0,0,0,0,0,10,6,20,2,2,0.2,2,0.2,83.3,0,0,0,0,0,0,0,0,0,6,2,5,0.833333,0,0,1,0.166667,48.8333,15,37,2.46667,91.2667,8,0,1.88051,15,37,8,2.46667,91.2667,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darth Carlos,10,2,4,2,5,2.5,0,1,2,3,4,4,9,1,5,1.25,55.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1.25,0,0,1,0.25,55.75,4,8,2,80,1,0,2.33333,1,2,0,2,81,0,3,6,1,2,79.6667,0,0,0,0,0,0,0,
Aboy,10,11,40,3.63636,49,4.45455,10,6,13,8,22,40,43.9,1.81818,49,2.22727,78,10,0.454545,0,1,0,1,1,0,0,0,0,61,12,15,23,1.91667,3,0.25,3,0.25,70.6667,7,21,21,3,7,1,2,0.285714,100,2,4,4,2,0,0,0,0,53.5,24,39,1.625,73.7917,5,5,2.26263,12,17,0,1.41667,69.1667,2,8,21,5,2.625,94.375,0,4,1,0,0.25,46.5,3,
michael,9,9,15,1.66667,30,3.33333,3,0,10,1,18,15,36,0.833333,30,1.66667,72.9444,3,0.166667,2,1,3,3,3,1,1,1,1,100,11,8,20,1.81818,2,0.181818,2,0.181818,83.9091,0,0,0,0,0,0,0,0,0,6,4,7,1.16667,0,0,2,0.333333,48.3333,19,42,2.21053,90.1579,9,0,2.13796,18,39,8,2.16667,89.6111,0,1,3,1,3,100,0,0,0,0,0,0,0,
Darth,9,4,3,0.75,9,2.25,1,0,2,0,8,3,12.9,0.375,9,1.125,58.5,1,0.125,1,0,0,0,0,0,0,0,0,0,4,3,8,2,1,0.25,1,0.25,84,0,0,0,0,0,0,0,0,0,4,0,1,0.25,0,0,0,0,33,6,16,2.66667,93.5,4,0,1.50368,6,16,4,2.66667,93.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jippieh Yeah,9,10,30,3,44,4.4,10,0,12,2,20,30,46,1.5,44,2.2,81.6,10,0.5,2,0,0,0,0,0,0,0,0,0,18,30,41,2.27778,10,0.555556,1,0.0555556,84.4444,0,0,0,0,0,0,0,0,0,2,0,3,1.5,0,0,0,0,56,22,50,2.27273,87.9091,10,0,2.25714,20,44,8,2.2,86.7,0,2,6,2,3,100,0,0,0,0,0,0,0,
Steves Cheese,9,1,4,4,4,4,0,0,1,0,2,4,6,2,4,2,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,2,1,61.5,2,5,2.5,86.5,1,0,2,2,5,1,2.5,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
sharent,9,1,3,3,5,5,1,0,0,0,2,3,5,1.5,5,2.5,87,1,0.5,0,0,0,0,0,0,0,0,0,0,2,3,5,2.5,1,0.5,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
