Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Simlin,9,3,3,1,9,3,1,2,5,1,5,3,0.6,9,1.8,78.2,1,0.2,0,2,0,2,1,0,0,0,0,69,3,3,7,2.33333,1,0.333333,1,0.333333,84.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,2,70.375,2,0,2.657,7,13,1,1.85714,66.1429,0,1,3,1,3,100,0,0,0,0,0,0,0,
Frog,9,17,42,2.47059,80,4.70588,14,10,17,2,34,42,1.23529,80,2.35294,87.0882,14,0.411765,1,15,18,36,2.4,6,0.4,3,0.2,89.2667,18,21,41,2.27778,7,0.388889,5,0.277778,84.5556,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,34,62,1.82353,73.2941,8,2,2.0185,32,57,7,1.78125,72.3125,2,2,5,1,2.5,89,0,0,0,0,0,0,0,
Soulsek,9,5,12,2.4,22,4.4,4,2,7,1,10,12,1.2,22,2.2,82.6,4,0.4,0,8,9,17,2.125,3,0.375,3,0.375,82.625,2,3,5,2.5,1,0.5,1,0.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,2.08333,87.8333,3,0,2.42063,12,25,3,2.08333,87.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,
UTiger13,9,17,50,2.94118,76,4.47059,16,11,13,7,34,50,1.47059,76,2.23529,89.8529,16,0.470588,2,21,23,43,2.04762,7,0.333333,6,0.285714,87.4286,13,27,33,2.53846,9,0.692308,4,0.307692,93.7692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,59,1.96667,79.7667,6,1,1.8798,23,44,5,1.91304,78.5652,1,7,15,1,2.14286,83.7143,0,0,0,0,0,0,0,
K.,9,3,15,5,16,5.33333,5,0,5,0,6,15,2.5,16,2.66667,91.1667,5,0.833333,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,4,12,12,3,4,1,4,1,100,1,0,1,1,0,0,0,0,47,8,18,2.25,86.625,3,0,2.82184,6,14,3,2.33333,86.5,0,0,0,0,0,0,0,2,4,0,2,87,0,
CactusClan,10,17,34,2,63,3.70588,7,14,14,12,34,34,1,63,1.85294,74.8529,7,0.205882,1,9,7,15,1.66667,0,0,4,0.444444,62.4444,16,12,27,1.6875,2,0.125,4,0.25,74.625,7,15,19,2.71429,5,0.714286,1,0.142857,97.7143,2,0,2,1,0,0,0,0,52.5,31,52,1.67742,64.6774,5,3,1.92794,18,23,1,1.27778,54.8333,3,11,26,4,2.36364,83.8182,0,2,3,0,1.5,48,0,
nato,9,11,44,4,56,5.09091,15,6,3,5,22,44,2,56,2.54545,92.5455,15,0.681818,1,11,21,28,2.54545,7,0.636364,1,0.0909091,97.0909,4,12,12,3,4,1,3,0.75,100,0,0,0,0,0,0,0,0,0,7,11,16,2.28571,4,0.571429,3,0.428571,81.1429,14,33,2.35714,80.9286,6,0,1.3386,10,23,4,2.3,76.3,0,4,10,2,2.5,92.5,0,0,0,0,0,0,0,
Batman,9,10,27,2.7,43,4.3,10,4,5,6,20,27,1.35,43,2.15,85.75,10,0.5,1,15,21,33,2.2,8,0.533333,3,0.2,85.2667,4,3,7,1.75,1,0.25,0,0,84,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,15,34,2.26667,84.3333,6,0,1.66957,9,19,3,2.11111,81.8889,0,6,15,3,2.5,88,0,0,0,0,0,0,0,
SolohellBoy,9,1,0,0,4,4,0,0,0,0,2,0,0,4,2,61,0,0,0,2,0,4,2,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Space12345,10,11,17,1.54545,36,3.27273,2,6,7,8,22,17,0.772727,36,1.63636,65.2273,2,0.0909091,1,7,4,12,1.71429,0,0,2,0.285714,66,10,5,15,1.5,1,0.1,1,0.1,63.7,1,3,3,3,1,1,0,0,100,4,5,6,1.5,0,0,2,0.5,59,18,36,2,70.6111,5,0,1.71502,7,13,2,1.85714,69.7143,0,8,18,3,2.25,76.75,0,3,5,0,1.66667,56.3333,0,
YeahRocks,9,7,21,3,35,5,9,4,24,0,14,21,1.5,35,2.5,87.2143,9,0.642857,0,2,0,4,2,0,0,0,0,67,7,9,19,2.71429,5,0.714286,3,0.428571,93.1429,4,12,12,3,4,1,4,1,100,1,0,0,0,0,0,0,0,35,31,51,1.64516,67.0968,3,1,4.43804,25,42,3,1.68,71.84,1,0,0,0,0,0,0,6,9,0,1.5,47.3333,0,
SwuTangClan,10,10,32,3.2,47,4.7,10,9,17,6,20,32,1.6,47,2.35,92.3,10,0.5,3,5,5,8,1.6,1,0.2,2,0.4,81,13,21,33,2.53846,7,0.538462,3,0.230769,95.4615,2,6,6,3,2,1,1,0.5,100,0,0,0,0,0,0,0,0,0,27,40,1.48148,35.963,2,0,2.63103,13,22,2,1.69231,49.3846,0,6,9,0,1.5,37,0,8,9,0,1.125,13.375,0,
Prince Mohsin,9,4,6,1.5,15,3.75,2,3,2,3,8,6,0.75,15,1.875,72.875,2,0.25,0,2,0,4,2,0,0,0,0,70,4,3,7,1.75,1,0.25,0,0,70.75,0,0,0,0,0,0,0,0,0,2,3,4,2,1,0.5,0,0,80,6,11,1.83333,74.6667,2,0,1.61397,4,5,0,1.25,62,0,2,6,2,3,100,0,0,0,0,0,0,0,
Amagnus8,8,1,6,6,6,6,2,0,1,0,2,6,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,85.5,1,0,2.13725,2,5,1,2.5,85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
DarthCarlos10,10,11,32,2.90909,45,4.09091,9,8,5,12,22,32,1.45455,45,2.04545,79.0455,9,0.409091,1,12,15,22,1.83333,3,0.25,2,0.166667,73.6667,6,9,15,2.5,4,0.666667,1,0.166667,93.3333,2,6,6,3,2,1,1,0.5,100,2,2,2,1,0,0,1,0.5,47.5,16,29,1.8125,67.5625,3,2,1.53535,1,1,0,1,54,0,12,27,3,2.25,80.8333,0,3,1,0,0.333333,19,2,
Nordar,11,17,53,3.11765,65,3.82353,9,29,7,0,34,53,1.55882,65,1.91176,82,9,0.264706,3,16,20,26,1.625,1,0.0625,6,0.375,76.8125,11,16,20,1.81818,3,0.272727,6,0.545455,81.2727,7,17,19,2.71429,5,0.714286,1,0.142857,95,0,0,0,0,0,0,0,0,0,22,24,1.09091,57.5909,1,5,1.13276,16,23,1,1.4375,68.3125,0,0,0,0,0,0,0,6,1,0,0.166667,29,5,
Neifen,9,3,3,1,10,3.33333,1,1,5,1,6,3,0.5,10,1.66667,65,1,0.166667,0,2,0,4,2,0,0,0,0,55,3,3,5,1.66667,1,0.333333,1,0.333333,76,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,52,8,15,1.875,77.25,2,0,2.67157,7,12,1,1.71429,74,0,1,3,1,3,100,0,0,0,0,0,0,0,
Dark Skull,10,4,12,3,13,3.25,2,4,1,1,6,12,2,13,2.16667,85.1667,2,0.333333,1,3,4,5,1.66667,0,0,2,0.666667,81.3333,3,8,8,2.66667,2,0.666667,3,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,63.2,1,0,1.2809,4,8,1,2,63.75,0,1,2,0,2,61,0,0,0,0,0,0,0,
Eleazar,9,15,30,2,70,4.66667,13,7,14,15,30,30,1,70,2.33333,87.7,13,0.433333,3,20,21,49,2.45,9,0.45,0,0,90.95,5,9,13,2.6,3,0.6,1,0.2,92.6,0,0,0,0,0,0,0,0,0,5,0,8,1.6,1,0.2,0,0,69.8,29,58,2,73.7931,8,1,2.10762,16,34,4,2.125,79.375,0,12,23,4,1.91667,71.25,1,1,1,0,1,15,0,
Bob,11,4,16,4,16,4,4,7,1,0,6,69,11.5,16,2.66667,96,4,0.666667,0,2,25,5,2.5,1,0.5,2,1,97,4,27,11,2.75,3,0.75,4,1,95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1.2,50,0,0,1.29473,4,5,0,1.25,52.5,0,0,0,0,0,0,0,1,1,0,1,40,0,
JD,10,2,0,0,5,2.5,0,0,0,0,4,0,0,5,1.25,69,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,56.5,2,0,3,1.5,0,0,0,0,81.5,0,0,0,0,0,0,0,0,0,2,6,3,100,2,0,1.25714,2,6,2,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Captain America,9,15,48,3.2,68,4.53333,16,11,19,0,30,48,1.6,68,2.26667,87.8,16,0.533333,3,8,9,15,1.875,3,0.375,0,0,83.875,15,21,35,2.33333,7,0.466667,3,0.2,88.5333,4,12,12,3,4,1,4,1,100,3,6,6,2,2,0.666667,2,0.666667,78.3333,34,58,1.70588,65.5882,6,2,2.13885,31,55,6,1.77419,68.2258,2,0,0,0,0,0,0,3,3,0,1,38.3333,0,
corey,9,23,57,2.47826,108,4.69565,19,12,16,2,46,57,1.23913,108,2.34783,89.1957,19,0.413043,10,24,21,54,2.25,7,0.291667,7,0.291667,86.2083,19,30,46,2.42105,10,0.526316,4,0.210526,93.6842,2,6,6,3,2,1,2,1,100,1,0,2,2,0,0,0,0,54,39,80,2.05128,76.8974,11,1,1.62265,34,73,11,2.14706,82.2647,1,2,4,0,2,75.5,0,3,3,0,1,17,0,
ThatAmagnus,9,3,3,1,13,4.33333,1,0,0,1,6,3,0.5,13,2.16667,79.8333,1,0.166667,1,4,3,9,2.25,1,0.25,0,0,91.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,56.5,3,9,3,100,3,0,1.06667,2,6,2,3,100,0,1,3,1,3,100,0,0,0,0,0,0,0,
ThatAmagnus,10,9,30,3.33333,40,4.44444,7,6,5,0,18,30,1.66667,40,2.22222,81.2222,7,0.388889,0,4,8,8,2,0,0,3,0.75,63.75,4,4,9,2.25,1,0.25,1,0.25,77.5,10,18,23,2.3,6,0.6,3,0.3,89.7,0,0,0,0,0,0,0,0,0,14,30,2.14286,84.9286,4,0,1.72857,7,16,3,2.28571,92.4286,0,0,0,0,0,0,0,7,14,1,2,77.4286,0,
Dada 1974,9,13,33,2.53846,58,4.46154,11,4,10,1,26,33,1.26923,58,2.23077,84.6923,11,0.423077,0,11,9,24,2.18182,3,0.272727,2,0.181818,82.7273,14,21,31,2.21429,7,0.5,6,0.428571,85.1429,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,23,46,2,81.5217,9,2,1.76131,22,43,8,1.95455,80.6818,2,1,3,1,3,100,0,0,0,0,0,0,0,
Sno,10,16,36,2.25,59,3.6875,7,12,12,10,32,36,1.125,59,1.84375,74.2812,7,0.21875,2,5,4,9,1.8,0,0,1,0.2,63.6,15,12,26,1.73333,1,0.0666667,4,0.266667,74.4,8,18,22,2.75,6,0.75,1,0.125,96.375,4,2,2,0.5,0,0,0,0,43,28,51,1.82143,64.6786,6,1,1.84872,17,31,2,1.82353,65.2353,1,9,18,4,2,72.8889,0,2,2,0,1,23,0,
ConcretePanda,10,16,20,1.25,44,2.75,2,13,11,11,28,20,0.714286,44,1.57143,67.6071,2,0.0714286,0,10,6,16,1.6,0,0,3,0.3,66.8,13,11,21,1.61538,1,0.0769231,5,0.384615,69.9231,2,3,5,2.5,1,0.5,0,0,85.5,3,0,2,0.666667,0,0,0,0,48.3333,27,52,1.92593,71.8519,6,1,1.78551,14,24,0,1.71429,66.8571,0,10,23,6,2.3,83.4,1,3,5,0,1.66667,56.6667,0,
RedACE,9,15,27,1.8,67,4.46667,14,9,5,8,30,27,0.9,67,2.23333,86.7333,14,0.466667,3,18,21,42,2.33333,8,0.444444,2,0.111111,90,7,6,18,2.57143,5,0.714286,1,0.142857,92.7143,0,0,0,0,0,0,0,0,0,5,0,7,1.4,1,0.2,0,0,66.6,20,42,2.1,77.85,7,2,1.38841,14,32,6,2.28571,80.7857,1,5,10,1,2,80.4,0,1,0,0,0,24,1,
Jitsuka,9,6,15,2.5,25,4.16667,6,3,5,2,11,15,1.36364,25,2.27273,89,6,0.545455,3,6,6,14,2.33333,3,0.5,0,0,90.3333,4,9,11,2.75,3,0.75,3,0.75,99.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,11,20,1.81818,75.0909,4,1,1.89706,9,14,2,1.55556,69.5556,1,1,3,1,3,100,0,1,3,1,3,100,0,
Stump,9,8,24,3,38,4.75,8,6,12,0,16,24,1.5,38,2.375,86.9375,8,0.5,1,4,0,6,1.5,0,0,0,0,65,8,12,20,2.5,4,0.5,4,0.5,91.375,4,12,12,3,4,1,4,1,100,0,0,0,0,0,0,0,0,0,19,34,1.78947,72.6316,4,2,2.36346,18,32,4,1.77778,73.8889,2,0,0,0,0,0,0,1,2,0,2,50,0,
Wryhorn,11,23,74,3.21739,83,3.6087,8,37,19,0,46,74,1.6087,83,1.80435,75.2609,8,0.173913,5,33,57,61,1.84848,7,0.212121,20,0.606061,76.0303,8,10,13,1.625,0,0,5,0.625,69.25,5,7,9,1.8,1,0.2,3,0.6,79.8,0,0,0,0,0,0,0,0,0,41,37,0.902439,53.1707,1,19,1.60435,28,29,1,1.03571,57.6429,10,0,0,0,0,0,0,13,8,0,0.615385,43.5385,9,
Amagnus,9,20,71,3.55,95,4.75,22,10,9,10,40,71,1.775,95,2.375,88.9,22,0.55,5,24,44,58,2.41667,14,0.583333,2,0.0833333,91.375,12,24,32,2.66667,8,0.666667,2,0.166667,97.9167,0,0,0,0,0,0,0,0,0,4,3,5,1.25,0,0,2,0.5,47,29,60,2.06897,76.1379,10,0,1.46944,19,41,8,2.15789,79.7368,0,8,17,2,2.125,85.875,0,2,2,0,1,3,0,
Tochtli Feo,9,2,3,1.5,8,4,1,0,1,0,4,3,0.75,8,2,81.25,1,0.25,0,3,0,5,1.66667,0,0,0,0,75,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2.66667,97.6667,2,0,1.47826,3,8,2,2.66667,97.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,
Double G,9,16,48,3,74,4.625,16,7,13,0,32,48,1.5,74,2.3125,86.1875,16,0.5,0,6,9,13,2.16667,3,0.5,3,0.5,84,23,33,54,2.34783,11,0.478261,11,0.478261,85.3043,3,6,7,2.33333,2,0.666667,2,0.666667,97.3333,0,0,0,0,0,0,0,0,0,29,62,2.13793,78.1034,9,0,10.2462,25,57,9,2.28,84.68,0,1,1,0,1,18,0,3,4,0,1.33333,43.3333,0,
Joe,9,6,18,3,25,4.16667,6,1,5,0,11,18,1.63636,25,2.27273,88.1818,6,0.545455,0,3,0,4,1.33333,0,0,0,0,72.3333,4,6,9,2.25,2,0.5,2,0.5,88.25,4,12,12,3,4,1,3,0.75,100,0,0,0,0,0,0,0,0,0,11,23,2.09091,83.9091,5,1,1.8514,11,23,5,2.09091,83.9091,1,0,0,0,0,0,0,0,0,0,0,0,0,
Mr. Pizza,9,11,39,3.54545,54,4.90909,13,7,7,1,22,39,1.77273,54,2.45455,93.2273,13,0.590909,1,10,6,19,1.9,2,0.2,1,0.1,85.7,12,33,35,2.91667,11,0.916667,3,0.25,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34,1.88889,74.8333,4,1,1.61517,15,30,4,2,77.1333,1,1,1,0,1,64,0,2,3,0,1.5,63,0,
WanG,9,9,21,2.33333,43,4.77778,10,6,4,0,18,21,1.16667,43,2.38889,89.6111,10,0.555556,1,9,12,23,2.55556,5,0.555556,3,0.333333,89.8889,8,9,20,2.5,5,0.625,2,0.25,94.625,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,13,27,2.07692,72.0769,4,0,1.43098,12,26,4,2.16667,75.75,0,0,0,0,0,0,0,1,1,0,1,28,0,
drabnot,10,2,6,3,6,3,0,1,0,2,4,6,1.5,6,1.5,62,0,0,0,4,6,6,1.5,0,0,2,0.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,82.5,1,0,1.21785,0,0,0,0,0,0,2,5,1,2.5,82.5,0,0,0,0,0,0,0,
TheWryhorn,9,2,6,3,9,4.5,2,0,6,0,4,6,1.5,9,2.25,85.75,2,0.5,0,1,0,2,2,0,0,0,0,79,1,0,1,1,0,0,0,0,64,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,8,12,1.5,64.875,2,1,3.88462,7,11,2,1.57143,67.1429,1,0,0,0,0,0,0,1,1,0,1,49,0,
Aigamisou,9,2,9,4.5,11,5.5,3,1,1,0,4,9,2.25,11,2.75,96.25,3,0.75,0,1,3,3,3,1,1,0,0,100,2,3,5,2.5,1,0.5,1,0.5,92.5,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,3,6,2,73.3333,1,0,1.49265,3,6,1,2,73.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Butterburger,11,18,46,2.55556,69,3.83333,6,22,12,0,36,46,1.27778,69,1.91667,74.2222,6,0.166667,2,11,10,16,1.45455,0,0,2,0.181818,65.1818,8,11,16,2,2,0.25,3,0.375,74.25,17,25,37,2.17647,4,0.235294,8,0.470588,80.0588,0,0,0,0,0,0,0,0,0,30,33,1.1,53.4333,2,12,1.44139,17,28,2,1.64706,62.5882,2,0,0,0,0,0,0,13,5,0,0.384615,41.4615,10,
Poz,9,20,90,4.5,102,5.1,30,12,23,0,40,90,2.25,102,2.55,92.95,30,0.75,0,6,9,13,2.16667,3,0.5,2,0.333333,88.1667,30,72,80,2.66667,24,0.8,20,0.666667,95.2,3,9,9,3,3,1,3,1,100,1,0,0,0,0,0,0,0,33,42,74,1.7619,69.7381,11,4,1.99716,36,69,11,1.91667,75.6667,2,0,0,0,0,0,0,6,5,0,0.833333,34.1667,2,
Nordar 2,10,15,46,3.06667,68,4.53333,12,12,12,3,30,46,1.53333,68,2.26667,78.6,12,0.4,1,4,0,7,1.75,0,0,0,0,68.75,15,25,37,2.46667,7,0.466667,4,0.266667,86.2,5,15,15,3,5,1,3,0.6,100,6,6,9,1.5,0,0,3,0.5,48.3333,27,50,1.85185,62.7778,4,0,1.76879,19,37,2,1.94737,66.5263,0,3,7,2,2.33333,79,0,5,6,0,1.2,38.8,0,
Aleister Crowle,9,16,33,2.0625,64,4,11,9,10,0,32,33,1.03125,64,2,81.2812,11,0.34375,1,14,3,24,1.71429,1,0.0714286,1,0.0714286,76.2143,13,24,33,2.53846,8,0.615385,2,0.153846,92.0769,2,6,6,3,2,1,2,1,100,3,0,1,0.333333,0,0,0,0,45.6667,26,54,2.07692,79.9615,8,0,1.59007,25,53,8,2.12,80.92,0,0,0,0,0,0,0,1,1,0,1,56,0,
Lacey Clan,9,7,15,2.14286,29,4.14286,6,4,5,0,14,15,1.07143,29,2.07143,90.2143,6,0.428571,2,2,0,2,1,0,0,0,0,75.5,10,9,21,2.1,4,0.4,3,0.3,91.2,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,12,25,2.08333,75.0833,3,0,1.68067,12,25,3,2.08333,75.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,
Twistadude,9,6,12,2,21,3.5,4,3,4,1,12,12,1,21,1.75,77.8333,4,0.333333,1,9,6,15,1.66667,2,0.222222,2,0.222222,77.6667,3,6,6,2,2,0.666667,0,0,78.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,2.2,78.6,4,0,1.72304,9,19,3,2.11111,76.2222,0,1,3,1,3,100,0,0,0,0,0,0,0,
Av7,9,3,0,0,9,3,0,3,1,1,6,0,0,9,1.5,78,0,0,2,4,0,7,1.75,0,0,0,0,81.5,2,0,2,1,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,79.75,1,0,1.26961,3,5,0,1.66667,73,0,0,0,0,0,0,0,1,3,1,3,100,0,
Atlas,10,9,24,2.66667,38,4.22222,5,8,2,4,18,24,1.33333,38,2.11111,81.7222,5,0.277778,1,6,7,10,1.66667,0,0,3,0.5,73.1667,11,17,26,2.36364,5,0.454545,6,0.545455,86.5455,1,0,2,2,0,0,0,0,80,0,0,0,0,0,0,0,0,0,11,21,1.90909,63.3636,1,1,1.25612,5,11,1,2.2,66,0,4,8,0,2,75.75,0,2,2,0,1,32,1,
