Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Lucy,12,2,4,2,6,3,0,1,3,0,4,4,6,1,6,1.5,55.25,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,1.5,0,0,2,0.5,55.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,75.2,1,0,0,5,10,1,2,75.2,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jacob,12,1,0,0,1,1,0,1,5,0,1,0,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1.16667,59.3333,0,1,0,6,7,0,1.16667,59.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,
K9,12,1,2,2,2,2,0,1,1,0,1,2,2,2,2,2,85,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,62.5,0,0,0,2,4,0,2,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Celebpi,12,5,2,0.4,12,2.4,0,3,2,0,10,2,12,0.2,12,1.2,46,0,0,0,0,0,0,0,0,0,0,0,0,10,2,12,1.2,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,2.14286,77.1429,2,0,0,7,15,2,2.14286,77.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sgt Baker,12,5,0,0,13,2.6,0,4,1,0,8,0,13,0,13,1.625,71.125,0,0,1,0,0,0,0,0,0,0,0,0,8,0,13,1.625,0,0,0,0,71.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,2.16667,70.6667,1,0,0,6,13,1,2.16667,70.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,
g-solo,12,1,0,0,1,1,0,0,2,0,2,0,1,0,1,0.5,44,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,79,1,0,0,3,6,1,2,79,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yamato,12,7,22,3.14286,25,3.57143,0,6,1,0,14,22,25,1.57143,25,1.78571,69.4286,0,0,0,0,0,0,0,0,0,0,0,0,14,22,25,1.78571,0,0,10,0.714286,69.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,2.125,81.25,1,0,0,8,17,1,2.125,81.25,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hurrican Heidi,12,3,13,4.33333,13,4.33333,1,2,3,0,6,13,13,2.16667,13,2.16667,74.8333,1,0.166667,0,0,0,0,0,0,0,0,0,0,6,13,13,2.16667,1,0.166667,5,0.833333,74.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,1.83333,66.8333,1,0,0,5,10,1,2,71.6,0,0,0,0,0,0,0,1,1,0,1,43,0,
Atticus,12,7,22,3.14286,25,3.57143,0,7,5,0,14,22,25,1.57143,25,1.78571,60.8571,0,0,1,0,0,0,0,0,0,0,0,0,14,22,25,1.78571,0,0,10,0.714286,60.8571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,1.75,64.25,0,0,0,12,21,0,1.75,64.25,0,0,0,0,0,0,0,0,0,0,0,0,0,
Atlas,12,4,10,2.5,14,3.5,0,4,3,0,8,10,14,1.25,14,1.75,76.25,0,0,1,0,0,0,0,0,0,0,0,0,8,10,14,1.75,0,0,3,0.375,76.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,1.57143,65.7143,0,0,0,7,11,0,1.57143,65.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daddy,12,6,6,1,14,2.33333,2,6,8,0,9,6,14,0.666667,14,1.55556,80.2222,2,0.222222,0,0,0,0,0,0,0,0,0,0,9,6,14,1.55556,2,0.222222,1,0.111111,80.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,1.71429,64.5714,0,1,0,14,24,0,1.71429,64.5714,1,0,0,0,0,0,0,0,0,0,0,0,0,
Scott_218,12,7,18,2.57143,24,3.42857,0,6,6,0,14,18,24,1.28571,24,1.71429,67.2143,0,0,0,0,0,0,0,0,0,0,0,0,14,18,24,1.71429,0,0,6,0.428571,67.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,2,72,1,0,0,13,26,1,2,72,0,0,0,0,0,0,0,0,0,0,0,0,0,
BringerOfRain,12,7,31,4.42857,32,4.57143,5,7,1,0,14,31,32,2.21429,32,2.28571,87.2143,5,0.357143,0,0,0,0,0,0,0,0,0,0,14,31,32,2.28571,5,0.357143,9,0.642857,87.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,2,67.875,0,0,0,8,16,0,2,67.875,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darth Czar,12,6,18,3,21,3.5,0,7,2,0,12,18,21,1.5,21,1.75,66.5,0,0,0,0,0,0,0,0,0,0,0,0,12,18,21,1.75,0,0,9,0.75,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,1.875,67.125,0,0,0,8,15,0,1.875,67.125,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fergus Maximus,12,7,14,2,23,3.28571,0,7,5,0,14,14,23,1,23,1.64286,64.2857,0,0,0,0,0,0,0,0,0,0,0,0,14,14,23,1.64286,0,0,4,0.285714,64.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,1.83333,74.5,0,0,0,12,22,0,1.83333,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
kittykat,12,7,17,2.42857,27,3.85714,1,7,13,0,14,17,27,1.21429,27,1.92857,74.0714,1,0.0714286,0,0,0,0,0,0,0,0,0,0,14,17,27,1.92857,1,0.0714286,3,0.214286,74.0714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,1.25,58.3,0,3,0,20,25,0,1.25,58.3,3,0,0,0,0,0,0,0,0,0,0,0,0,
Delivering Chaos,12,4,4,1,9,2.25,0,3,13,0,7,4,9,0.571429,9,1.28571,63.5714,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,1.28571,0,0,2,0.285714,63.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,1.64706,69.0588,1,1,0,17,28,1,1.64706,69.0588,1,0,0,0,0,0,0,0,0,0,0,0,0,
