Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Eddie,12,8,14,1.75,26,3.25,0,3,6,0,16,14,25,0.875,26,1.625,58.1875,0,0,1,0,0,0,0,0,0,0,0,0,15,14,24,1.6,0,0,6,0.4,56.4,1,0,2,2,0,0,0,0,85,0,0,0,0,0,0,0,0,0,14,30,2.14286,84,5,0,0,14,30,5,2.14286,84,0,0,0,0,0,0,0,0,0,0,0,0,0,
Street Product,12,8,7,0.875,26,3.25,1,7,4,0,14,7,26,0.5,26,1.85714,65.2857,1,0.0714286,0,0,0,0,0,0,0,0,0,0,14,7,26,1.85714,1,0.0714286,2,0.142857,65.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,2,82.1667,1,0,0,12,24,1,2,82.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,
ZeroGage,12,7,8,1.14286,23,3.28571,0,5,5,0,14,8,23,0.571429,23,1.64286,58.8571,0,0,0,0,0,0,0,0,0,0,0,0,14,8,23,1.64286,0,0,2,0.142857,58.8571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,2,76.25,2,0,0,12,24,2,2,76.25,0,0,0,0,0,0,0,0,0,0,0,0,0,
Blackhawk,12,1,2,2,2,2,0,1,0,0,1,2,2,2,2,2,53,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,74,0,0,0,1,2,0,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,
Christ,12,6,10,1.66667,21,3.5,0,5,3,0,12,10,21,0.833333,21,1.75,65.5,0,0,0,0,0,0,0,0,0,0,0,0,12,10,21,1.75,0,0,3,0.25,65.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,1.88889,70.2222,1,0,0,8,15,1,1.875,72.5,0,0,0,0,0,0,0,1,2,0,2,52,0,
Celebpi,12,8,16,2,28,3.5,0,7,22,0,16,16,28,1,28,1.75,56.0625,0,0,0,0,0,0,0,0,0,0,0,0,16,16,28,1.75,0,0,7,0.4375,56.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,53,1.76667,73.7667,1,1,0,30,53,1,1.76667,73.7667,1,0,0,0,0,0,0,0,0,0,0,0,0,
Sgt Baker,12,7,9,1.28571,21,3,1,5,4,0,12,9,21,0.75,21,1.75,74.4167,1,0.0833333,0,0,0,0,0,0,0,0,0,0,12,9,21,1.75,1,0.0833333,2,0.166667,74.4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,1.90909,70.0909,2,0,0,11,21,2,1.90909,70.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yamato,12,8,22,2.75,31,3.875,0,8,4,0,16,22,31,1.375,31,1.9375,74.5,0,0,1,0,0,0,0,0,0,0,0,0,16,22,31,1.9375,0,0,9,0.5625,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,1.83333,69.75,0,0,0,12,22,0,1.83333,69.75,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hurrican Heidi,12,8,26,3.25,32,4,2,8,6,0,16,26,32,1.625,32,2,70.9375,2,0.125,0,0,0,0,0,0,0,0,0,0,16,26,32,2,2,0.125,5,0.3125,70.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,1.57143,67.8571,0,1,0,14,22,0,1.57143,67.8571,1,0,0,0,0,0,0,0,0,0,0,0,0,
Atticus,12,1,4,4,4,4,0,1,1,0,2,4,4,2,4,2,57.5,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,2,1,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.5,62.5,0,0,0,2,3,0,1.5,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Atlas,12,4,12,3,14,3.5,0,4,2,0,8,12,14,1.5,14,1.75,70.75,0,0,0,0,0,0,0,0,0,0,0,0,8,12,14,1.75,0,0,6,0.75,70.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,64,0,0,0,6,12,0,2,64,0,0,0,0,0,0,0,0,0,0,0,0,0,
BringerOfRain,12,5,5,1,18,3.6,1,5,1,0,10,5,18,0.5,18,1.8,78.1,1,0.1,0,0,0,0,0,0,0,0,0,0,10,5,18,1.8,1,0.1,0,0,78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,77.1667,0,0,0,6,12,0,2,77.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darth Czar,12,8,28,3.5,33,4.125,4,6,7,0,16,28,32,1.75,33,2.0625,82.75,4,0.25,1,0,0,0,0,0,0,0,0,0,15,25,30,2,3,0.2,10,0.666667,81.6,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,15,25,1.66667,74.8667,2,1,0,15,25,2,1.66667,74.8667,1,0,0,0,0,0,0,0,0,0,0,0,0,
Fergus Maximus,12,8,22,2.75,28,3.5,0,8,5,0,16,22,28,1.375,28,1.75,63.9375,0,0,0,0,0,0,0,0,0,0,0,0,16,22,28,1.75,0,0,10,0.625,63.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,1.76923,70.0769,0,1,0,13,23,0,1.76923,70.0769,1,0,0,0,0,0,0,0,0,0,0,0,0,
kittykat,12,8,14,1.75,26,3.25,2,8,6,0,16,14,26,0.875,26,1.625,81.75,2,0.125,0,0,0,0,0,0,0,0,0,0,16,14,26,1.625,2,0.125,4,0.25,81.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,1.78571,68.3571,0,0,0,14,25,0,1.78571,68.3571,0,0,0,0,0,0,0,0,0,0,0,0,0,
Delivering Chaos,12,2,2,1,7,3.5,0,0,0,0,4,2,7,0.5,7,1.75,53.5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,1.75,0,0,1,0.25,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,100,2,0,0,2,6,2,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheetah,12,3,2,0.666667,7,2.33333,0,3,4,0,6,2,7,0.333333,7,1.16667,52.5,0,0,0,0,0,0,0,0,0,0,0,0,6,2,7,1.16667,0,0,1,0.166667,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,1.57143,80.2857,0,0,0,7,11,0,1.57143,80.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,
