Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
jeff,11,1,2,2,4,4,0,1,0,0,2,2,1,4,2,65,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,57,1,0,2,2,0,0,0,0,73,0,0,0,0,0,0,0,0,0,1,2,2,79,0,0,1,2,0,2,79,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tim66,10,3,6,2,9,3,2,5,0,0,6,6,1,9,1.5,71.5,2,0.333333,0,0,0,0,0,0,0,0,0,0,6,6,9,1.5,2,0.333333,1,0.166667,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,85.5,0,0,1,2,0,2,99,0,0,0,0,0,0,0,1,2,0,2,72,0,
Kighr,9,8,23,2.875,35,4.375,8,7,4,3,16,23,1.4375,35,2.1875,82.875,8,0.5,0,10,15,20,2,5,0.5,2,0.2,80.8,5,5,12,2.4,2,0.4,1,0.2,83.6,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,0,0,100,11,20,1.81818,76.3636,4,1,8,13,2,1.625,68.625,1,3,7,2,2.33333,97,0,0,0,0,0,0,0,
Mr Incrediboyle,9,4,12,3,16,4,4,2,2,1,6,12,2,16,2.66667,87,4,0.666667,0,2,3,5,2.5,1,0.5,0,0,86,4,9,11,2.75,3,0.75,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,74,2,1,5,10,2,2,77.6,1,1,2,0,2,56,0,0,0,0,0,0,0,
Stump,9,1,0,0,2,2,0,0,2,0,2,0,0,2,1,41.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2.33333,79.6667,1,0,3,7,1,2.33333,79.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wryhorn,11,22,85,3.86364,91,4.13636,16,42,13,0,44,85,1.93182,91,2.06818,76.8636,16,0.363636,0,0,0,0,0,0,0,0,0,0,29,52,55,1.89655,7,0.241379,15,0.517241,71.5517,15,33,36,2.4,9,0.6,7,0.466667,87.1333,0,0,0,0,0,0,0,0,0,32,26,0.8125,49.3438,1,15,23,20,1,0.869565,52.0435,12,0,0,0,0,0,0,9,6,0,0.666667,42.4444,3,
Amagnus,9,24,75,3.125,114,4.75,26,14,15,12,48,75,1.5625,114,2.375,90.5,26,0.541667,2,39,60,94,2.41026,21,0.538462,5,0.128205,92,3,6,8,2.66667,2,0.666667,0,0,97,0,0,0,0,0,0,0,0,0,6,9,12,2,3,0.5,1,0.166667,77.5,38,81,2.13158,79.5526,14,1,26,49,4,1.88462,73.6923,1,12,32,10,2.66667,92.25,0,0,0,0,0,0,0,
Double G,9,2,6,3,9,4.5,2,0,0,0,4,6,1.5,9,2.25,90,2,0.5,0,1,0,2,2,0,0,0,0,83,2,3,4,2,1,0.5,1,0.5,88.5,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,2,6,3,100,2,0,2,6,2,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joe,9,16,54,3.375,76,4.75,19,15,19,0,32,54,1.6875,76,2.375,84.875,19,0.59375,0,4,3,10,2.5,2,0.5,0,0,87.75,23,39,54,2.34783,13,0.565217,12,0.521739,84.1304,4,12,12,3,4,1,4,1,100,1,0,0,0,0,0,0,0,30,33,57,1.72727,75.9091,6,0,30,54,6,1.8,79.9667,0,0,0,0,0,0,0,3,3,0,1,35.3333,0,
Ghengis,11,2,10,5,10,5,2,4,3,0,4,10,2.5,10,2.5,86,2,0.5,0,0,0,0,0,0,0,0,0,0,3,7,7,2.33333,1,0.333333,3,1,81.3333,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,5,3,0.6,45,0,3,2,2,0,1,48,1,0,0,0,0,0,0,3,1,0,0.333333,43,2,
