Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
MrPatty,9,8,19,2.375,33,4.125,5,4,4,6,16,19,1.1875,33,2.0625,88.75,5,0.3125,3,13,19,27,2.07692,5,0.384615,5,0.384615,88.8462,1,0,2,2,0,0,0,0,94,0,0,0,0,0,0,0,0,0,2,3,4,2,0,0,0,0,85.5,12,27,2.25,81.5833,4,0,6,13,1,2.16667,80,0,6,14,3,2.33333,83.1667,0,0,0,0,0,0,0,
Captain America,9,3,6,2,14,4.66667,2,4,2,2,6,6,1,14,2.33333,91.6667,2,0.333333,1,1,0,2,2,0,0,0,0,89,5,6,12,2.4,2,0.4,2,0.4,92.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1.6,62,0,0,3,6,0,2,64.6667,0,2,2,0,1,58,0,0,0,0,0,0,0,
Shift,11,1,2,2,2,2,0,1,0,0,2,17,8.5,2,1,52,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,40,1,7,2,2,0,0,1,1,64,0,0,0,0,0,0,0,0,0,1,2,2,59,0,0,1,2,0,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,
Corey,9,14,30,2.14286,63,4.5,10,15,18,0,28,30,1.07143,63,2.25,83.8571,10,0.357143,2,7,0,12,1.71429,0,0,0,0,68.4286,19,24,45,2.36842,8,0.421053,7,0.368421,87.8421,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,31,48,1.54839,67.8064,3,4,31,48,3,1.54839,67.8064,4,0,0,0,0,0,0,0,0,0,0,0,0,
Dada 1974,9,8,23,2.875,34,4.25,7,7,10,1,15,23,1.53333,34,2.26667,90.2,7,0.466667,0,6,5,11,1.83333,1,0.166667,2,0.333333,83.1667,9,18,23,2.55556,6,0.666667,4,0.444444,94.8889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,1.66667,69.8889,3,2,17,29,3,1.70588,71.0588,2,1,1,0,1,50,0,0,0,0,0,0,0,
Sno,10,7,22,3.14286,27,3.85714,5,11,0,3,14,22,1.57143,27,1.92857,70.8571,5,0.357143,0,0,0,0,0,0,0,0,0,0,4,8,9,2.25,2,0.5,1,0.25,80.75,3,9,9,3,3,1,0,0,100,7,20,9,1.28571,0,0,2,0.285714,52.7143,6,10,1.66667,57.8333,0,0,3,6,0,2,63.6667,0,3,4,0,1.33333,52,0,0,0,0,0,0,0,
RedACE,9,14,45,3.21429,66,4.71429,15,8,2,7,28,45,1.60714,66,2.35714,89.1786,15,0.535714,1,20,33,49,2.45,11,0.55,5,0.25,92.8,4,9,11,2.75,3,0.75,1,0.25,98,0,0,0,0,0,0,0,0,0,4,6,6,1.5,1,0.25,1,0.25,62.25,16,35,2.1875,81.5625,8,1,9,19,3,2.11111,76.2222,0,7,16,5,2.28571,88.4286,1,0,0,0,0,0,0,
Tim66,10,3,6,2,9,3,2,5,0,0,6,6,1,9,1.5,71.5,2,0.333333,0,0,0,0,0,0,0,0,0,0,6,6,9,1.5,2,0.333333,1,0.166667,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,85.5,0,0,1,2,0,2,99,0,0,0,0,0,0,0,1,2,0,2,72,0,
Kighr,9,8,23,2.875,35,4.375,8,7,4,3,16,23,1.4375,35,2.1875,82.875,8,0.5,0,10,15,20,2,5,0.5,2,0.2,80.8,5,5,12,2.4,2,0.4,1,0.2,83.6,0,0,0,0,0,0,0,0,0,1,9,3,3,1,1,0,0,100,11,20,1.81818,76.3636,4,1,8,13,2,1.625,68.625,1,3,7,2,2.33333,97,0,0,0,0,0,0,0,
Mr Incrediboyle,9,4,12,3,16,4,4,2,2,1,6,12,2,16,2.66667,87,4,0.666667,0,2,3,5,2.5,1,0.5,0,0,86,4,9,11,2.75,3,0.75,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,74,2,1,5,10,2,2,77.6,1,1,2,0,2,56,0,0,0,0,0,0,0,
