Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
ThatAmagnus,10,15,38,2.53333,59,3.93333,11,12,2,0,30,38,1.26667,59,1.96667,79.2,11,0.366667,1,3,0,4,1.33333,0,0,0,0,57,16,10,26,1.625,2,0.125,2,0.125,72.5625,10,27,28,2.8,9,0.9,2,0.2,99.4,1,1,1,1,0,0,0,0,50,17,35,2.05882,78.5882,5,0,1.28353,13,28,4,2.15385,82.8462,0,0,0,0,0,0,0,4,7,1,1.75,64.75,0,
Dada 1974,9,8,26,3.25,39,4.875,8,3,7,2,16,26,1.625,39,2.4375,88.6875,8,0.5,0,6,2,11,1.83333,0,0,1,0.166667,75,10,24,28,2.8,8,0.8,5,0.5,96.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,2,78.7333,5,1,1.83848,13,26,4,2,79.6923,1,1,3,1,3,100,0,1,1,0,1,45,0,
Sno,10,9,30,3.33333,35,3.88889,5,9,5,3,18,30,1.66667,35,1.94444,75.1667,5,0.277778,0,3,2,3,1,0,0,1,0.333333,62,7,11,15,2.14286,1,0.142857,4,0.571429,79.4286,4,12,12,3,4,1,2,0.5,100,4,5,5,1.25,0,0,3,0.75,52.75,13,20,1.53846,63,2,3,1.40946,8,14,1,1.75,66.25,1,2,3,1,1.5,65,1,3,3,0,1,53,1,
RedACE,9,16,43,2.6875,74,4.625,17,10,7,11,32,43,1.34375,74,2.3125,88.2812,17,0.53125,2,17,27,41,2.41176,9,0.529412,1,0.0588235,92.7059,5,6,15,3,5,1,1,0.2,100,1,3,3,3,1,1,0,0,100,9,7,15,1.66667,2,0.222222,2,0.222222,72.1111,22,51,2.31818,80.9091,9,0,1.48041,12,27,3,2.25,78.8333,0,10,24,6,2.4,83.4,0,0,0,0,0,0,0,
The Hammer,9,4,12,3,20,5,5,3,5,3,8,12,1.5,20,2.5,92.75,5,0.625,1,5,9,13,2.6,3,0.6,1,0.2,97,2,0,4,2,1,0.5,0,0,78.5,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,0,0,100,9,16,1.77778,74.6667,2,0,2.34286,6,8,0,1.33333,68.1667,0,3,8,2,2.66667,87.6667,0,0,0,0,0,0,0,
Wryhorn,11,11,35,3.18182,41,3.72727,4,17,5,0,22,35,1.59091,41,1.86364,78.0909,4,0.181818,2,11,18,20,1.81818,1,0.0909091,7,0.636364,74.1818,5,10,9,1.8,1,0.2,3,0.6,80.8,6,8,12,2,2,0.333333,1,0.166667,83,0,0,0,0,0,0,0,0,0,15,22,1.46667,56,1,1,1.18532,7,11,1,1.57143,61.5714,1,0,0,0,0,0,0,8,11,0,1.375,51.125,0,
Evanshire,9,4,6,1.5,17,4.25,3,3,8,1,8,6,0.75,17,2.125,82.875,3,0.375,0,0,0,0,0,0,0,0,0,0,5,0,9,1.8,1,0.2,0,0,76.8,3,6,8,2.66667,2,0.666667,2,0.666667,93,0,0,0,0,0,0,0,0,0,12,17,1.41667,64.75,1,2,2.77734,5,9,0,1.8,69.8,0,1,1,0,1,64,0,6,7,1,1.16667,60.6667,2,
Amagnus,9,16,51,3.1875,81,5.0625,20,9,13,10,32,51,1.59375,81,2.53125,92.8125,20,0.625,4,15,21,37,2.46667,8,0.533333,1,0.0666667,92.5333,16,30,42,2.625,12,0.75,3,0.1875,95.375,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,56,29,56,1.93103,81.4483,8,1,1.9118,20,35,3,1.75,79.1,1,9,21,5,2.33333,86.6667,0,0,0,0,0,0,0,
Double G,9,10,41,4.1,52,5.2,13,8,14,1,20,41,2.05,52,2.6,93.15,13,0.65,0,1,2,2,2,0,0,1,1,84,18,36,47,2.61111,12,0.666667,12,0.666667,93.2778,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,24,43,1.79167,70.625,3,2,2.31667,20,38,2,1.9,74.65,1,0,0,0,0,0,0,4,5,1,1.25,50.5,1,
Joe,9,7,24,3.42857,34,4.85714,8,4,13,0,14,24,1.71429,34,2.42857,93.2143,8,0.571429,1,0,0,0,0,0,0,0,0,0,11,15,25,2.27273,5,0.454545,2,0.181818,91.3636,3,9,9,3,3,1,3,1,100,0,0,0,0,0,0,0,0,0,20,37,1.85,72.1,3,0,2.66207,14,29,3,2.07143,78.3571,0,0,0,0,0,0,0,6,8,0,1.33333,57.5,0,
Mr. Pizza,9,17,54,3.17647,83,4.88235,19,11,9,3,34,54,1.58824,83,2.44118,91.4412,19,0.558824,2,13,18,31,2.38462,6,0.461538,2,0.153846,92.0769,20,36,50,2.5,13,0.65,4,0.2,91.2,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,88,25,54,2.16,81.92,9,0,1.47677,23,49,8,2.13043,81.913,0,2,5,1,2.5,82,0,0,0,0,0,0,0,
Aigamisou,9,3,3,1,13,4.33333,2,1,1,1,6,3,0.5,13,2.16667,82.3333,2,0.333333,1,3,0,5,1.66667,0,0,0,0,69,3,3,8,2.66667,2,0.666667,1,0.333333,95.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,2.5,87.75,2,0,1.35784,3,8,2,2.66667,92.3333,0,1,2,0,2,74,0,0,0,0,0,0,0,
Butterburger,11,10,43,4.3,46,4.6,10,18,2,0,20,43,2.15,46,2.3,90.15,10,0.5,2,7,10,12,1.71429,1,0.142857,4,0.571429,80.8571,2,69,6,3,2,1,1,0.5,100,11,27,28,2.54545,7,0.636364,6,0.545455,94.2727,0,0,0,0,0,0,0,0,0,11,13,1.18182,48.0909,0,2,0.977188,5,5,0,1,44.4,2,0,0,0,0,0,0,6,8,0,1.33333,51.1667,0,
Poz,9,17,36,2.11765,69,4.05882,13,9,12,0,30,36,1.2,69,2.3,90.8333,13,0.433333,4,3,3,7,2.33333,1,0.333333,1,0.333333,87.3333,25,27,56,2.24,10,0.4,4,0.16,90.52,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,29,61,2.10345,72,8,0,1.64953,25,56,8,2.24,77.36,0,0,0,0,0,0,0,4,5,0,1.25,38.5,0,
Evan Hardluck,9,3,0,0,12,4,0,5,0,0,6,0,0,12,2,78.1667,0,0,1,1,0,2,2,0,0,0,0,75,5,0,10,2,0,0,0,0,78.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,67,0,0,0.628571,2,4,0,2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,
